x, y, z, wartosc
0.97, -0.86, 2.36, 2.48
0.82, -0.85, 2.26, 2.22
0.64, -0.85, 2.1, 1.88
0.44, -0.83, 1.87, 1.49
0.26, -0.75, 1.57, 1.08
0.12, -0.61, 1.16, 0.67
0.02, -0.36, 0.65, 0.3
0.0, 0.0, 0.0, 0.0
0.85, -1.18, 2.46, 2.13
0.94, -1.06, 2.43, 2.31
0.93, -0.99, 2.38, 2.32
0.85, -0.96, 2.32, 2.21
0.72, -0.94, 2.21, 1.99
0.55, -0.92, 2.06, 1.69
0.37, -0.87, 1.84, 1.35
0.21, -0.77, 1.54, 0.98
0.08, -0.61, 1.14, 0.61
0.0, -0.36, 0.63, 0.28
0.0, 0.0, 0.0, 0.0
0.66, -1.21, 2.37, 1.82
0.77, -1.11, 2.33, 1.99
0.78, -1.05, 2.29, 2.02
0.72, -1.02, 2.23, 1.93
0.6, -0.99, 2.13, 1.74
0.45, -0.95, 1.98, 1.49
0.29, -0.88, 1.77, 1.18
0.15, -0.77, 1.48, 0.86
0.04, -0.6, 1.1, 0.53
-0.02, -0.35, 0.61, 0.24
0.0, 0.0, 0.0, 0.0
0.48, -1.18, 2.21, 1.52
0.6, -1.11, 2.18, 1.68
0.63, -1.06, 2.14, 1.71
0.58, -1.03, 2.08, 1.64
0.48, -0.99, 1.99, 1.48
0.35, -0.94, 1.85, 1.26
0.21, -0.86, 1.65, 1.0
0.08, -0.74, 1.38, 0.72
-0.01, -0.57, 1.03, 0.45
-0.04, -0.33, 0.57, 0.2
0.0, 0.0, 0.0, 0.0
0.32, -1.09, 1.98, 1.22
0.44, -1.04, 1.95, 1.36
0.48, -1.0, 1.92, 1.39
0.44, -0.97, 1.87, 1.33
0.36, -0.94, 1.78, 1.2
0.25, -0.88, 1.66, 1.02
0.13, -0.8, 1.48, 0.81
0.03, -0.68, 1.24, 0.58
-0.04, -0.52, 0.92, 0.36
-0.06, -0.29, 0.51, 0.16
0.0, 0.0, 0.0, 0.0
0.19, -0.93, 1.66, 0.93
0.3, -0.9, 1.64, 1.04
0.33, -0.88, 1.61, 1.06
0.31, -0.85, 1.56, 1.02
0.24, -0.82, 1.49, 0.92
0.15, -0.77, 1.39, 0.78
0.06, -0.69, 1.24, 0.61
-0.02, -0.59, 1.04, 0.44
-0.06, -0.44, 0.77, 0.27
-0.07, -0.25, 0.43, 0.12
0.0, 0.0, 0.0, 0.0
0.09, -0.7, 1.24, 0.63
0.17, -0.69, 1.22, 0.7
0.2, -0.67, 1.19, 0.72
0.18, -0.66, 1.16, 0.69
0.14, -0.63, 1.11, 0.62
0.08, -0.59, 1.03, 0.52
0.01, -0.53, 0.92, 0.41
-0.04, -0.44, 0.77, 0.29
-0.07, -0.33, 0.57, 0.17
-0.06, -0.18, 0.32, 0.07
0.0, 0.0, 0.0, 0.0
0.02, -0.39, 0.69, 0.32
0.07, -0.39, 0.68, 0.36
0.09, -0.38, 0.66, 0.37
0.08, -0.38, 0.65, 0.35
0.06, -0.36, 0.62, 0.31
0.02, -0.34, 0.57, 0.26
-0.01, -0.3, 0.51, 0.2
-0.04, -0.25, 0.43, 0.14
-0.05, -0.19, 0.32, 0.08
-0.04, -0.1, 0.18, 0.03
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
-1.4, -0.78, 2.4, 0.22
-1.2, -0.94, 2.43, 0.3
-1.0, -1.05, 2.44, 0.39
-0.81, -1.13, 2.42, 0.48
-0.63, -1.16, 2.34, 0.55
-0.46, -1.14, 2.2, 0.6
-0.31, -1.06, 1.98, 0.61
-0.18, -0.91, 1.66, 0.57
-0.08, -0.69, 1.23, 0.46
-0.02, -0.39, 0.69, 0.28
0.0, 0.0, 0.0, 0.0
-1.36, -0.61, 2.4, 0.43
-1.22, -0.76, 2.43, 0.45
-1.07, -0.89, 2.44, 0.48
-0.91, -0.99, 2.42, 0.52
-0.75, -1.04, 2.34, 0.55
-0.6, -1.04, 2.2, 0.56
-0.45, -0.99, 1.97, 0.54
-0.31, -0.86, 1.66, 0.49
-0.19, -0.66, 1.23, 0.38
-0.08, -0.38, 0.69, 0.23
0.0, 0.0, 0.0, 0.0
-1.25, -0.53, 2.39, 0.61
-1.18, -0.66, 2.42, 0.59
-1.08, -0.78, 2.43, 0.58
-0.97, -0.87, 2.4, 0.57
-0.84, -0.93, 2.32, 0.55
-0.71, -0.94, 2.18, 0.53
-0.57, -0.9, 1.96, 0.49
-0.42, -0.8, 1.65, 0.42
-0.28, -0.62, 1.22, 0.32
-0.14, -0.36, 0.68, 0.18
0.0, 0.0, 0.0, 0.0
-1.1, -0.52, 2.36, 0.74
-1.08, -0.61, 2.39, 0.69
-1.04, -0.69, 2.39, 0.65
-0.98, -0.77, 2.36, 0.61
-0.89, -0.82, 2.28, 0.57
-0.78, -0.84, 2.14, 0.52
-0.66, -0.81, 1.92, 0.45
-0.51, -0.73, 1.62, 0.37
-0.35, -0.57, 1.2, 0.27
-0.18, -0.33, 0.67, 0.15
0.0, 0.0, 0.0, 0.0
-0.91, -0.55, 2.28, 0.82
-0.96, -0.58, 2.3, 0.77
-0.97, -0.63, 2.31, 0.71
-0.95, -0.68, 2.28, 0.64
-0.9, -0.72, 2.2, 0.58
-0.82, -0.74, 2.06, 0.51
-0.71, -0.71, 1.85, 0.43
-0.57, -0.64, 1.55, 0.34
-0.41, -0.51, 1.16, 0.24
-0.22, -0.3, 0.64, 0.13
0.0, 0.0, 0.0, 0.0
-0.7, -0.6, 2.15, 0.85
-0.8, -0.57, 2.16, 0.79
-0.86, -0.58, 2.16, 0.73
-0.88, -0.6, 2.13, 0.65
-0.87, -0.62, 2.06, 0.57
-0.81, -0.63, 1.93, 0.49
-0.72, -0.61, 1.73, 0.4
-0.6, -0.55, 1.45, 0.31
-0.43, -0.44, 1.08, 0.21
-0.23, -0.26, 0.6, 0.1
0.0, 0.0, 0.0, 0.0
-0.49, -0.63, 1.94, 0.82
-0.63, -0.55, 1.95, 0.77
-0.72, -0.52, 1.94, 0.7
-0.78, -0.51, 1.92, 0.63
-0.79, -0.51, 1.85, 0.55
-0.76, -0.51, 1.73, 0.46
-0.69, -0.5, 1.55, 0.37
-0.58, -0.45, 1.3, 0.27
-0.43, -0.36, 0.97, 0.18
-0.24, -0.22, 0.54, 0.09
0.0, 0.0, 0.0, 0.0
-0.3, -0.61, 1.63, 0.72
-0.45, -0.51, 1.64, 0.68
-0.56, -0.44, 1.64, 0.63
-0.63, -0.41, 1.61, 0.56
-0.66, -0.4, 1.55, 0.49
-0.66, -0.39, 1.45, 0.4
-0.61, -0.38, 1.3, 0.32
-0.52, -0.34, 1.09, 0.23
-0.39, -0.28, 0.81, 0.15
-0.21, -0.17, 0.45, 0.07
0.0, 0.0, 0.0, 0.0
-0.15, -0.52, 1.22, 0.56
-0.28, -0.41, 1.22, 0.53
-0.38, -0.34, 1.22, 0.49
-0.45, -0.3, 1.2, 0.44
-0.49, -0.28, 1.15, 0.38
-0.5, -0.27, 1.08, 0.31
-0.47, -0.26, 0.97, 0.24
-0.4, -0.23, 0.81, 0.18
-0.31, -0.19, 0.6, 0.11
-0.17, -0.11, 0.33, 0.05
0.0, 0.0, 0.0, 0.0
-0.04, -0.33, 0.68, 0.32
-0.13, -0.25, 0.68, 0.31
-0.19, -0.2, 0.68, 0.29
-0.24, -0.17, 0.67, 0.26
-0.27, -0.15, 0.64, 0.22
-0.28, -0.14, 0.6, 0.18
-0.27, -0.13, 0.54, 0.14
-0.23, -0.12, 0.45, 0.1
-0.18, -0.1, 0.33, 0.06
-0.1, -0.06, 0.19, 0.03
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
0.0, 0.0, 0.0, 0.0
-1.44, 0.0, 2.53, 1.09
-1.45, -0.18, 2.49, 0.86
-1.45, -0.25, 2.45, 0.75
-1.42, -0.22, 2.38, 0.74
-1.36, -0.14, 2.27, 0.78
-1.27, -0.02, 2.12, 0.83
-1.13, 0.1, 1.89, 0.86
-0.94, 0.19, 1.58, 0.83
-0.69, 0.22, 1.17, 0.7
-0.38, 0.17, 0.65, 0.44
0.0, 0.0, 0.0, 0.0
-1.07, -0.41, 2.49, 1.02
-1.18, -0.42, 2.46, 0.87
-1.24, -0.35, 2.43, 0.84
